Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Rafer Alston,ORL,32.3,Point,853,43,93,59,9,56,87,52,5,70,37,22,76,39,67,44,85,32,38,36,88,5,73,36,52,79,3,39,36,36,37,5,2,59,9,99,52,52,53,91,13,47,98,5,46,52,52,63,91,18,48,82,17,37,36,36,55,10,84,63,95,56,33,3,72,38,38,24,7,83,59,17,98,36,36,69,18,60,28,33,16,14,36,36,92,31,1,2,56,91,85,38,38,88,64,95,13,19,6,99,57,100,41
Lou Amundson,PHX,25.9,Big,909,78,64,20,93,15,87,28,3,77,29,80,20,29,21,26,30,42,30,8,9,100,46,61,70,89,14,10,61,61,59,21,37,50,17,89,70,70,90,52,78,76,55,32,33,70,70,29,3,98,74,51,42,45,61,61,73,43,56,90,51,85,47,52,37,30,30,3,100,99,97,99,41,8,8,15,11,4,4,68,21,32,8,8,82,47,34,32,25,49,40,30,30,95,94,74,94,97,76,88,94,63,63
Chris Andersen,DEN,30.3,Big,1412,99,60,55,88,41,65,97,53,86,86,20,13,85,13,20,29,44,52,39,10,97,81,40,88,17,3,65,40,40,87,9,7,7,8,35,88,88,97,75,41,62,84,62,80,88,88,7,60,94,92,18,63,45,40,40,39,26,47,32,47,54,35,22,38,52,52,39,97,60,84,94,20,39,39,56,29,21,20,45,33,31,39,39,57,15,23,12,63,89,85,52,52,58,29,60,19,52,59,75,61,62,78
Ryan Anderson,BKN,20.5,Big,1233,20,84,47,45,44,77,52,93,29,5,21,53,46,50,44,75,63,50,53,19,69,81,67,56,74,82,50,67,67,55,71,36,63,54,66,56,56,76,72,31,49,89,18,42,56,56,31,38,74,66,41,60,56,67,67,57,14,63,57,6,91,54,17,41,50,50,46,70,71,68,74,49,53,53,31,43,79,67,26,67,43,53,53,85,39,27,23,12,69,47,50,50,43,84,34,81,47,88,19,88,15,34
Carmelo Anthony,DEN,24.4,Forward,2273,32,61,63,63,86,39,9,56,86,93,43,98,48,96,66,45,81,91,78,98,27,59,48,53,36,71,57,48,48,36,65,31,71,28,92,53,53,34,44,65,62,18,79,60,53,53,62,15,61,36,72,36,51,48,48,38,41,36,56,8,40,37,30,40,91,91,87,16,46,78,52,86,78,78,33,87,81,89,54,90,90,78,78,86,70,75,77,13,5,5,91,91,82,42,76,92,78,80,53,21,56,23
Joel Anthony,MIA,26.2,Big,1008,97,40,29,51,4,39,23,34,64,19,38,1,46,22,71,3,31,17,52,2,66,12,67,83,18,37,54,67,67,74,44,38,35,38,43,83,83,89,45,44,42,88,42,71,83,83,27,1,70,23,97,85,95,67,67,57,44,54,26,69,38,76,59,70,17,17,32,62,30,24,23,29,52,52,31,71,60,69,63,55,59,52,52,12,83,56,73,28,79,68,17,17,16,61,7,6,52,9,39,76,18,43
Trevor Ariza,LAL,23.3,Wing,1902,63,100,46,97,74,87,94,5,75,45,82,36,56,51,61,54,46,33,31,49,52,62,62,56,96,20,12,62,62,58,18,15,24,13,70,56,56,52,81,55,73,26,83,65,56,56,5,81,82,90,52,61,60,62,62,71,30,71,89,28,85,40,6,44,33,33,31,62,87,41,56,32,31,31,49,22,76,42,7,14,6,31,31,90,1,36,3,65,87,84,33,33,56,82,44,97,84,77,7,53,14,63
Hilton Armstrong,NOP,23.9,Big,1050,65,55,14,43,7,80,24,23,69,79,27,40,73,23,22,2,18,9,27,12,29,14,62,18,97,13,83,62,62,48,22,17,8,5,51,18,18,37,72,15,31,69,24,34,18,18,8,72,80,84,53,64,62,62,62,76,20,84,31,47,54,90,30,90,9,9,18,21,13,16,6,69,27,27,36,75,74,82,39,4,7,27,27,64,59,81,79,15,13,10,9,9,28,45,37,74,32,65,12,30,8,86
Darrell Arthur,MEM,20.6,Big,1426,49,90,23,34,55,90,65,41,4,12,85,34,12,31,34,87,39,40,51,56,38,2,48,30,79,12,85,48,48,25,30,10,30,17,69,30,30,42,20,34,17,64,46,55,30,30,32,65,39,49,79,62,72,48,48,95,5,92,86,12,89,86,7,79,40,40,42,42,73,46,52,44,51,51,34,31,53,40,99,61,94,51,51,17,43,90,84,20,53,42,40,40,56,76,42,44,56,37,64,87,52,15
Chucky Atkins,OKC,34.2,Combo,278,28,30,53,58,5,0,0,0,12,51,0,12,2,23,56,77,15,11,25,20,6,67,53,36,82,5,95,53,53,77,33,15,23,3,96,36,36,74,16,2,1,95,31,78,36,36,93,86,22,48,1,26,5,53,53,15,49,10,80,77,59,6,85,4,11,11,28,22,6,2,1,36,25,25,75,31,16,16,55,42,45,25,25,9,38,76,67,72,80,80,11,11,15,10,14,10,0,24,28,33,21,0
D.J. Augustin,CHA,21.0,Point,1844,13,7,52,15,7,70,76,93,74,67,15,67,89,37,26,59,54,73,41,48,86,95,28,61,26,31,23,28,28,53,16,59,84,77,75,61,61,31,54,83,81,42,71,62,61,61,73,57,57,60,14,22,15,28,28,8,79,6,29,58,31,8,77,5,73,73,62,85,73,85,86,63,41,41,65,7,41,15,47,24,28,41,41,38,22,14,10,90,93,94,73,73,39,42,30,40,50,48,42,46,29,85
Kelenna Azubuike,GSW,24.9,Wing,2350,86,21,64,88,56,62,76,44,78,43,80,52,68,28,21,77,73,49,26,81,87,36,83,86,61,35,61,83,83,85,52,50,79,71,72,86,86,56,91,86,95,88,52,76,86,86,50,21,69,50,49,48,50,83,83,54,52,58,47,49,32,56,42,62,49,49,29,73,92,85,87,53,26,26,11,48,35,38,12,87,66,26,26,55,64,35,43,40,63,57,49,49,86,59,78,69,65,66,90,43,79,65
Renaldo Balkman,DEN,24.3,Big,704,43,100,41,92,22,41,62,21,55,7,93,27,87,53,73,59,69,60,34,16,99,35,65,28,98,19,43,65,65,52,18,6,68,42,79,28,28,39,61,85,85,37,12,12,28,28,30,83,64,79,58,24,33,65,65,69,3,88,80,6,92,42,3,59,60,60,33,99,84,79,95,18,34,34,42,82,39,60,21,13,9,34,34,86,27,34,21,53,47,48,60,60,50,80,39,96,63,80,12,55,19,90
Marcus Banks,MIA,27.0,Combo,134,98,100,16,0,58,0,0,0,77,74,70,33,23,79,93,5,3,4,5,40,27,70,11,22,89,0,29,11,11,64,2,13,0,0,11,22,22,4,82,0,0,73,99,97,22,22,77,100,14,70,1,48,8,11,11,23,93,39,55,100,0,15,23,55,4,4,10,36,9,8,23,2,5,5,24,1,54,10,33,3,4,5,5,91,56,26,32,90,6,26,4,4,16,3,15,7,0,3,36,15,67,28
Leandro Barbosa,PHX,25.9,Combo,1661,33,86,74,70,70,60,40,90,60,23,88,65,98,19,12,88,33,38,19,53,51,69,39,29,91,11,20,39,39,24,33,33,29,46,26,29,29,65,57,9,19,58,48,50,29,29,24,18,95,82,49,31,37,39,39,75,48,80,86,67,78,50,25,57,38,38,21,38,75,57,40,74,19,19,52,9,25,9,65,7,12,19,19,85,26,16,12,81,52,69,38,38,76,82,64,95,79,85,38,89,41,98
J.J. Barea,DAL,24.4,Combo,1476,26,14,49,74,67,0,0,13,30,49,23,70,63,84,72,49,52,54,64,36,65,44,47,35,63,38,65,47,47,30,52,37,51,34,74,35,35,51,33,43,34,7,88,69,35,35,10,75,96,97,15,33,21,47,47,76,33,75,22,46,26,89,28,86,54,54,67,68,4,29,62,6,64,64,15,52,81,72,67,58,66,64,64,91,33,18,15,39,55,50,54,54,38,3,75,55,23,78,21,5,47,77
Andrea Bargnani,TOR,23.0,Big,2418,51,13,80,2,27,26,19,91,25,82,35,82,63,51,29,71,16,44,57,52,10,63,8,7,7,51,73,8,8,3,60,54,73,79,51,7,7,25,47,59,59,23,16,11,7,7,12,72,93,95,13,45,26,8,8,28,48,26,63,47,68,23,65,22,44,44,63,12,24,15,9,46,57,57,74,15,47,29,87,44,63,57,57,43,21,43,25,30,92,80,44,44,49,45,53,61,36,84,42,66,34,58
Matt Barnes,PHX,28.6,Wing,2051,57,21,21,77,97,92,97,22,49,53,52,58,49,74,79,14,50,75,46,95,66,18,23,32,13,38,44,23,23,14,30,56,59,62,48,32,32,14,79,10,32,31,77,68,32,32,77,29,57,46,53,13,19,23,23,74,83,62,95,83,73,39,61,42,75,75,61,70,78,50,46,58,46,46,32,57,51,56,41,42,39,46,46,26,74,5,15,84,94,93,75,75,67,87,60,32,72,47,83,96,65,61
Brent Barry,HOU,36.8,Wing,798,8,55,86,20,43,0,53,0,3,9,0,11,77,72,97,0,34,31,24,25,80,28,48,47,81,62,7,48,48,56,42,85,23,41,17,47,47,69,57,45,52,70,19,26,47,47,28,24,79,63,44,68,61,48,48,56,73,31,48,19,46,50,94,32,31,31,24,83,71,52,67,29,24,24,53,11,32,12,39,35,30,24,24,41,5,52,17,64,92,87,31,31,41,66,27,24,11,27,59,86,51,83
Brandon Bass,DAL,23.5,Big,1501,46,16,87,54,34,35,52,98,70,67,47,64,78,24,15,57,61,83,56,44,78,95,25,48,47,34,26,25,25,27,34,69,78,51,92,48,48,61,58,71,72,21,61,45,48,48,9,91,94,98,24,17,16,25,25,36,78,28,20,88,13,48,45,44,83,83,57,71,47,51,34,76,56,56,19,81,53,70,71,53,63,56,56,56,20,49,28,42,77,71,83,83,94,57,94,92,85,90,83,54,79,56
Maceo Baston,IND,32.4,Big,201,66,57,12,80,11,0,32,27,61,91,17,30,74,32,37,24,53,18,24,6,51,93,87,95,96,3,17,87,87,97,1,18,8,3,68,95,95,98,100,72,99,5,60,21,95,95,23,86,87,94,13,21,14,87,87,58,67,67,58,39,70,57,55,61,18,18,35,68,56,14,52,3,24,24,7,48,100,98,3,9,5,24,24,56,48,65,59,33,46,41,18,18,5,83,6,2,85,2,17,66,19,79
Tony Battie,ORL,32.7,Big,1159,27,48,72,42,30,37,37,34,20,32,66,32,40,29,33,69,24,21,14,81,47,47,46,60,41,64,30,46,46,38,60,52,64,27,92,60,60,91,36,34,28,39,57,46,60,60,34,46,67,63,28,67,54,46,46,30,69,23,83,45,72,11,67,8,21,21,35,53,3,29,40,23,14,14,73,71,19,45,32,28,25,14,14,9,82,99,99,7,3,2,21,21,11,7,14,31,3,54,10,12,12,51
Shane Battier,HOU,30.1,Wing,2022,93,27,79,47,69,94,70,62,37,28,12,3,80,45,93,57,72,64,77,72,34,34,66,79,13,51,78,66,66,54,46,69,81,57,91,79,79,99,29,30,20,77,29,40,79,79,72,70,23,34,36,41,38,66,66,77,72,76,75,67,85,72,62,64,64,64,85,26,28,40,32,58,77,77,44,94,66,96,48,52,50,77,77,24,92,14,51,85,61,75,64,64,7,32,11,3,8,10,27,49,39,91
Nicolas Batum,POR,19.9,Wing,1407,96,63,14,98,59,96,80,58,38,19,27,15,60,25,41,38,85,87,89,84,84,9,65,22,84,71,81,65,65,31,65,77,57,49,64,22,22,73,22,7,6,33,23,20,22,22,44,35,35,29,88,70,82,65,65,86,68,82,91,64,86,64,9,61,87,87,73,72,91,96,92,86,89,89,86,90,72,90,36,78,60,89,89,74,77,48,62,59,10,17,87,87,81,87,66,91,94,73,59,68,49,75
Jerryd Bayless,POR,20.2,Combo,560,12,23,5,28,19,84,0,87,95,88,33,56,21,49,37,14,27,27,8,36,61,99,39,55,10,59,35,39,39,42,48,24,58,57,54,55,55,21,61,87,87,42,75,67,55,55,14,84,48,72,62,73,72,39,39,14,26,15,22,19,48,20,40,9,27,27,15,63,69,57,69,39,8,8,4,69,12,26,35,9,11,8,8,98,9,58,24,6,31,14,27,27,87,71,95,78,85,97,87,83,86,2
Michael Beasley,MIA,19.8,Big,1976,24,37,84,16,53,45,55,72,30,23,61,96,42,64,28,84,39,52,46,40,48,64,34,59,50,10,44,34,34,45,11,22,10,11,30,59,59,52,90,83,93,11,42,19,59,59,55,76,49,66,23,32,27,34,34,74,65,72,48,7,53,80,84,83,52,52,49,46,40,70,77,43,46,46,23,84,25,50,36,71,60,46,46,54,32,51,36,66,56,64,52,52,43,35,72,81,41,88,22,41,34,38
Marco Belinelli,GSW,22.6,Wing,849,3,77,46,6,12,0,26,30,23,85,88,63,65,78,79,13,38,27,66,16,28,3,63,49,87,62,41,63,63,83,54,11,47,35,61,49,49,44,74,88,89,23,22,15,49,49,19,77,44,61,29,87,74,63,63,15,11,26,39,12,59,9,30,14,27,27,37,37,30,55,47,67,66,66,56,64,48,58,76,24,47,66,66,65,14,33,16,92,57,77,27,27,22,48,19,17,30,10,36,36,35,82
Charlie Bell,MIL,29.6,Wing,1731,11,46,47,26,4,56,33,53,19,39,21,34,33,67,81,37,25,35,25,76,38,55,26,49,62,23,6,26,26,42,24,18,11,18,19,49,49,20,51,79,77,33,79,67,49,49,38,37,79,71,56,35,41,26,26,53,46,53,41,65,32,57,49,60,35,35,35,29,32,43,33,60,25,25,18,31,52,40,85,12,35,25,25,16,17,57,31,92,85,90,35,35,43,19,59,22,14,53,66,42,68,47
Raja Bell,CHA,32.1,Wing,1600,9,28,62,44,55,51,46,91,5,76,10,42,51,56,63,45,91,90,99,25,34,43,73,72,17,63,82,73,73,70,51,34,42,26,65,72,72,83,84,42,68,6,60,30,72,72,84,96,3,21,47,39,40,73,73,58,23,72,58,13,89,52,43,54,90,90,93,4,69,12,30,7,99,99,94,18,62,32,96,100,100,99,99,24,63,66,69,7,84,60,90,90,99,60,100,95,99,96,97,23,98,57
Raja Bell,PHX,32.1,Wing,711,4,11,42,13,28,0,0,0,6,62,0,8,76,15,29,76,77,68,77,61,25,26,75,55,42,92,63,75,75,38,90,64,18,21,33,55,55,42,95,26,74,46,46,40,55,55,49,6,78,40,96,26,63,75,75,95,61,94,85,61,84,89,54,85,68,68,56,28,25,66,36,90,77,77,79,59,45,53,32,93,85,77,77,37,85,61,77,26,41,32,68,68,74,23,92,81,9,95,52,15,63,96
Mike Bibby,ATL,30.5,Point,2731,54,44,81,35,74,80,37,39,9,59,87,56,63,28,30,93,31,65,76,83,14,18,10,5,23,87,56,10,10,5,88,28,34,38,37,5,5,24,14,9,4,87,3,12,5,5,67,39,20,21,82,54,70,10,10,38,16,31,23,82,18,44,26,39,65,65,72,10,29,7,18,9,76,76,78,79,71,75,69,46,56,76,76,8,9,87,61,74,84,84,65,65,74,49,79,54,32,65,80,84,83,76
